YEAR,STATE,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,CITY,COUNTY,DAY,DAY_WEEK,DRUNK_DR,FATALS,HARM_EV,HOUR,LGT_COND,MAN_COLL,MINUTE,MONTH,NOT_HOUR,NOT_MIN,PERSONS,RAIL,REL_ROAD,SCH_BUS,SP_JUR,ST_CASE,VE_FORMS,WEATHER
2014,42,53.58536585,62.63775971,1.260162602,0.138211382,0.027100271,1417.225836,66.50858175,15.96115628,4.005420054,0.309846432,1.079494128,19.5564589,12.96115628,1.767841012,2.004516712,28.80668473,6.960252936,51.71815718,61.24028907,2.120144535,2.456187895,2.325203252,0.004516712,0.009033424,420554,1.504065041,1.823848238
2014,44,14.11764706,25.50980392,0,0,0,144.2941176,6.098039216,17.60784314,4.098039216,0.274509804,1,21.82352941,13.94117647,2.431372549,1.31372549,29.29411765,7.431372549,13.98039216,28.43137255,1.568627451,2,2.411764706,0,0,440026.8235,1.254901961,1.803921569
2014,45,68.16005291,73.75132275,0.408730159,0,0,208.4761905,46.73015873,15.6984127,4.293650794,0.394179894,1.088624339,20.57407407,12.62037037,1.761904762,1.416666667,26.07804233,6.793650794,68.14153439,72.6031746,2.226190476,2.277777778,2.394179894,0.001322751,0.010582011,450380.9471,1.445767196,2.294973545
2014,46,29.448,44.008,0.224,0,0,344.32,75.432,15.504,4.568,0.368,1.088,13.328,13.584,1.752,1.616,27.408,6.336,28.08,41.448,2.072,2.736,3.272,0.008,0.216,460063,1.448,5.608
2014,47,98.52631579,98.56215006,1.033594625,0.230683091,0.055991041,679.9664054,100.6349384,15.63493841,4.072788354,0.276595745,1.078387458,21.07390817,16.8118701,1.82418813,1.714445689,31.0806271,6.671892497,98.52631579,98.50615901,2.251959686,2.696528555,2.537513998,0.004479283,0.020156775,470458.6036,1.511758119,3.587905935
2014,48,61.49623824,68.27021944,1.19153605,0.134796238,0.048902821,1737.603762,236.4733542,15.59216301,4.132288401,0.303448276,1.10846395,17.09780564,12.19278997,1.906269592,2.039498433,28.79467085,6.702194357,61.54702194,68.27272727,2.424451411,2.560188088,2.489341693,0.003134796,0.010031348,481631.3113,1.532915361,3.115360502
2014,49,19.72972973,35.77477477,1.761261261,0,0,1021.153153,33.47747748,15.30630631,4.423423423,0.234234234,1.153153153,15.0990991,13.96396396,1.833333333,1.635135135,29.6036036,6.851351351,19.41441441,34.94594595,2.666666667,2,2.581081081,0.004504505,0.076576577,490115.6577,1.621621622,4.990990991
2014,50,24.45238095,39.38095238,1.380952381,0,0,1013.809524,14.85714286,16.35714286,3.80952381,0.285714286,1.047619048,17.69047619,14.69047619,1.69047619,1.214285714,24.92857143,6.714285714,22.14285714,33.5,2.5,2,2.595238095,0,0,500021.5,1.452380952,2.80952381
2014,51,41.99241275,51.69195751,1.031866464,0.042488619,0,342.552352,210.9119879,15.6737481,4.068285281,0.309559939,1.06676783,22.76479514,13.08952959,1.757207891,1.429438543,28.4522003,6.792109256,43.18968134,53.90136571,1.904400607,2.22306525,2.464339909,0.006069803,0.004552352,510332.1077,1.452200303,9.054628225
2014,53,98.55011655,98.10955711,0.575757576,0.053613054,0,574.4055944,44.38461538,16.04428904,4.219114219,0.34032634,1.076923077,16.16083916,13.79487179,1.876456876,1.473193473,28.51515152,6.594405594,98.55011655,98.04895105,2.300699301,2.053613054,2.34965035,0,0.17016317,530228.8462,1.456876457,4.216783217
